text,id,Brand
RT @SBellasWays: We are leaving $5 @Starbucks give cards at @ChargePointnet stations between LA and San Francisco. So if you see one in you…,44,Starbucks
@Starbucks This is awesome!,45,Starbucks
"I'm at @Starbucks in Dammam, Ash Sharqiyah https://t.co/PA0hFhnSmM",46,Starbucks
Hey @Starbucks where's the buy 5 get 1 free sticker booklets? Is it even Christmas without them??,47,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",48,Starbucks
"Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fan… https://t.co/j8N0VSkNI0",49,Starbucks
@Lyssuhlew @Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> that workout was hard doe #bbg,50,Starbucks
"RT @Starbucks: @DivaaaLisaaa We're glad you can make that exception for us, Lisa! <ed><U+00A0><U+00BD><ed><U+00B2><U+009A>",51,Starbucks
@Starbucks Love Ellensburg Washington Starbucks employees! Store number 3227!!!!,52,Starbucks
"RT @Starbucks: @bst_wrst_thng #whatsPetedrinking? We have some thoughts. 
<U+2705>Iced Coffee with Milk
<U+2705>Iced Caramel Macchiato
<U+2705>Vanilla Sweet Cre…",53,Starbucks
"How is it possible that I can go into a @Starbucks and order a tall coffee, and the barrista says to me, ""Carmel ma… https://t.co/EAb7PECAtY",54,Starbucks
"@starbucks why did you replace the Lemon Chiffon yogurt with the Lemon Crunch Parfait? Less lemon smoothness, boo!",55,Starbucks
"@starbucks the downtown silver spring, md location has been w/o agave since Nov 27 maybe longer. Don’t understand w… https://t.co/i0l3RHpRiI",56,Starbucks
"Oh my god, @Starbucks. https://t.co/UGAwnhIQQw",57,Starbucks
@Starbucks This is how we gingerbread each year! https://t.co/yPJ8qotFuE,58,Starbucks
"@karenstivali @Starbucks I’m the opposite. Well, I don’t normally really spice my coffee but I typically keep it to unsweetened americanos.",59,Starbucks
"pissed @Starbucks that they got rid of their peach tea, that was my go to",60,Starbucks
"Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fan… https://t.co/JhBp2FXXxx",61,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",62,Starbucks
@Ember_Tech @ddlovato @Starbucks there must have been another coupon enclosed 4 Baileys Irish whiskey from @Costco #texas,63,Starbucks
"Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in… https://t.co/mXb6Ze4Yrq",64,Starbucks
RT @alibamford: @Wendy_Who @Starbucks @FOTRS_Sheffield Great work @Wendy_Who keep cheering for us <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,65,Starbucks
I must be really sick to drive through @Starbucks &amp; choose tea. #notateadrinker I hope it helps a little bit <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> it… https://t.co/imjl62L6wh,66,Starbucks
"RT @FOTRS_Sheffield: To all our friends @Starbucks Ecclesall Road, please keep tweeting and RT for @FOTRS_Sheffield in #CheerForGood charit…",67,Starbucks
No ugly Christmas sweaters here... #merrychristmas #starbucks #givegood <ed><U+00A0><U+00BD><ed><U+00B2><U+009A><U+2764><U+FE0F> @Starbucks https://t.co/mjgPmggAcQ,68,Starbucks
RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…,69,Starbucks
"RT @FOTRS_Sheffield: @hannahbasileia @FOTRS_Sheffield   <ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A>your support with #CheerForGood
Remind your lovely staff &amp; customers @Starbucks…",70,Starbucks
"Hey @Starbucks, y’all wanna tell me how I got a chunk of strawberry in my toasted white mocha???? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+00AE> https://t.co/XRJPfV1ILs",71,Starbucks
RT @FOTRS_Sheffield: Why not pop down to @Starbucks Eccy Road. Have a coffee and use the free wi-fi to tweet in support of @FOTRS_Sheffield…,72,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",73,Starbucks
"So I thought the Caramel Brûlée Latte was my favorite holiday drink @Starbucks , but Jesus no! Just tried the Snick… https://t.co/3xtK83fHTz",74,Starbucks
@Postmates @Postmates @Starbucks #BetterThanSanta I wish for 2 free @Starbucks drinks.#WishMeLuck,75,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",76,Starbucks
@Postmates @Starbucks #BetterThanSanta I wish for 2 free @Starbucks drinks.#WishMeLuck,77,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",78,Starbucks
I cannot board a flight without getting a @Starbucks I will actually walk to the furthest terminal just to get a la… https://t.co/YmMdeiWB0q,79,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",80,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",81,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",82,Starbucks
At this point I should honestly own equity in @Starbucks,83,Starbucks
RT @FOTRS_Sheffield: Why not treat yourself to a @Starbucks coffee tomorrow. While you're waiting for that Christmas red cup with your name…,84,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",85,Starbucks
Congratulating my co worker with a @Starbucks voucher for winning best #UglySweaterDay on our office floor and he r… https://t.co/rPdiib5FRh,86,Starbucks
"RT @Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her favorite…",87,Starbucks
@Starbucks Used the Mobile app to order a Trenta Ice Tea go there and they gave me a Grande and charged my for the… https://t.co/v5ANNEyi31,88,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",89,Starbucks
"I’ve been waiting a whole year for this message from @Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Ah, Good ole Starbucks helping me through the hol… https://t.co/nBbEXNa237",90,Starbucks
"RT @Starbucks: We'd gift-wrap this tweet...but we don't know how. Get 30% off holiday coffee &amp; gifts, now through 12/26. <ed><U+00A0><U+00BC><ed><U+00BE><U+0081> https://t.co/mss…",91,Starbucks
Had @Starbucks coffee for the first time today (black) and it IS all the hype. @DunkinDonuts your coffee is absolute sewer water,92,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",93,Starbucks
RT @MASERGY: .@Starbucks free #wifi caught secretly mining #cryptocurrency! https://t.co/KpDLAegof0 #Tech #Privacy https://t.co/RP5DOF5GRU,94,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",95,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",96,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",97,Starbucks
RT @teamkids: The Team Kids Bus is loaded w/ 100s of stuffed teddy bears and puppy dogs thanks to @Starbucks! @ABC7 @ABC7JulieSone https://…,98,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",99,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",100,Starbucks
"In the spirit of giving during the holidays, @ddlovato stopped by @starbucks in Chicago to surprise fans with her f… https://t.co/7kYJIXxuPi",101,Starbucks
RT @thisisinsider: Shangai is home to the largest @Starbucks in the world <U+2615><U+FE0F> <ed><U+00A0><U+00BC><ed><U+00BC><U+008F> https://t.co/d3Ht97bsrU,102,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",103,Starbucks
"impressed by the gender, socioeconomic, ethnic, linguistic and cultural diversity of the @Starbucks I'm at it, grading; #America",104,Starbucks
"RT @justcatchmedemi: Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fans w…",105,Starbucks
"Ember_Tech: In the spirit of giving during the holidays, @ddlovato stopped by @Starbucks in Chicago to surprise fan… https://t.co/yEXBbtgvXN",106,Starbucks
@Starbucks please share for the Starbucks fan to see <U+2764>,107,Starbucks
RT @STLPromiseZone: One of our libraries made it indoors for the winter at the #Ferguson @Starbucks https://t.co/xr2rsgjtT2,108,Starbucks
@Starbucks @___BeeRY You still doing this? Imma bout to slide!,109,Starbucks
"RT @alexis716: Hey @Starbucks, thanks for being amazing.",110,Starbucks
Lmao wow <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2642><U+FE0F> who can relate @Starbucks #starbucks #starbucksproblems https://t.co/MwEmtXXKCr,111,Starbucks
@Starbucks <U+2763><U+FE0F><U+2B50><U+2B50><U+2B50><U+2B50><U+2B50><U+2B50><U+2763><U+FE0F> to you for having consistently happy employees who are knowledgable on Calif gift card law. A… https://t.co/IOsujnZfd7,112,Starbucks
"May all your holiday gatherings be safe this weekend! If you're downtown and need some caffeine, don't forget… https://t.co/PjCZ3c0EVI",113,Starbucks
@Starbucks @Target location 37122,114,Starbucks
RT @ddlovato: On my way to perform at #JingleBall in Chicago tonight!! Thought maybe I'd stop by @Starbucks at Oak and Rush Street with my…,115,Starbucks
Stop giving me duplicate cards under the life category... just let me win! #StarbucksforLife @Starbucks <ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>… https://t.co/kYjHbUy2pv,116,Starbucks
I really wanna win @Starbucks for life! <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #StarbucksforLife,117,Starbucks
@Starbucks Anisha at the Providence location (37122) is #killingit for you today.  By herself with 20 ppl in line a… https://t.co/ySoWPsWZyX,118,Starbucks
@Postmates @Starbucks @Starbucks__Gift I wish for a $50 Starbucks gift card. #BetterThanSanta,119,Starbucks
"@Starbucks It was the last day today for Norman at the Wethersfield, Ct location, He was a tremendous employee and… https://t.co/Fn6l5H21G8",120,Starbucks
RT @McrSoup: Help @StAnnsHospice win a £2k grant from @Starbucks by giving them a cheer! Simply tweet using the hashtag #CheerforGood &amp; tag…,121,Starbucks
@krel69 @Starbucks I don't like spices in my drinks but I like my coffee so sweet it's crunchy.,122,Starbucks
I'm at @Starbucks in Amman https://t.co/3S4dJVmSWW,123,Starbucks
my drawing on @starbucks cup #art #brazil #followme on instagram manuelly_drawings  <U+2764> #fashionillustrator #likes… https://t.co/SgGmKS78xk,124,Starbucks
RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…,125,Starbucks
@Starbucks automatically giving gold status to propel when it took me like 30 drinks? I want a free drink for this bullshit.,126,Starbucks
@karenstivali @Starbucks LOL basically. I think it’s way better. The seasoning is there but subtle and not overly s… https://t.co/O0SrAf8PAH,127,Starbucks
@Starbucks Bitter coffee. Who do I call. We are already gone from the location! #TooExpensiveToBeBitter https://t.co/Pyuy2I4At8,128,Starbucks
"I'm at @Starbucks in Al Zour, Al Ahmadi https://t.co/6et8vOvHh7",129,Starbucks
"Sucks when @Starbucks take the lady behind you, when you’ve been waiting for them. While they fixed the register <ed><U+00A0><U+00BD><ed><U+00B8><U+0091> I was here first.",130,Starbucks
Just had the caramel brûlée latte from Starbucks and it was delicious! I loved how the sugar was crunchy like Creme… https://t.co/JYUiWquOzF,131,Starbucks
@krel69 @Starbucks So a non pumpkin PSL?,132,Starbucks
